path,datetime,latitude,longitude,gps_source
D:\photoproxy\IMG_0707.jpg,2013-11-29T19:04:00+00:00,-23.55679638888889,-47.48212888888889,original
D:\photoproxy\IMG_0708.jpg,2013-11-29T19:04:01+00:00,-23.55679638888889,-47.48212888888889,proxy
