file_path,timestamp,latitude,longitude
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1006.jpg,2024-08-04 12:29:16+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1007.jpg,2024-08-04 12:29:17+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1010.jpg,2024-08-04 12:30:49+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1012.jpg,2024-08-04 12:31:11+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1013.jpg,2024-08-04 12:31:16+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1014.jpg,2024-08-04 12:31:17+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1015.jpg,2024-08-04 12:31:19+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1019.jpg,2024-08-04 13:30:31+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1020.jpg,2024-08-04 13:30:35+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1023.jpg,2024-08-04 14:27:14+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1027.jpg,2024-08-04 14:29:05+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1035.jpg,2024-08-04 15:38:33+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1037.jpg,2024-08-04 15:39:05+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1038.jpg,2024-08-04 15:39:07+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1039.jpg,2024-08-04 15:39:11+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1041.jpg,2024-08-04 15:39:34+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1045.jpg,2024-08-04 15:39:48+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_1046.jpg,2024-08-04 15:39:49+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_5938.jpg,2024-08-24 19:01:00+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_5940.jpg,2024-08-24 19:35:25+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_5941.jpg,2024-08-24 19:35:26+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_5942.jpg,2024-08-24 19:35:26+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_5998.jpg,2024-08-27 10:21:04+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6003.jpg,2024-08-27 10:25:12+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6071.jpg,2024-09-01 12:34:31+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6072.jpg,2024-09-01 12:34:32+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6073.jpg,2024-09-01 13:31:11+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6074.jpg,2024-09-01 13:31:12+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6075.jpg,2024-09-01 13:31:35+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6076.jpg,2024-09-01 13:31:36+00:00,,
